iter	RMSE
0	1251.380296
1	1250.293132
2	1249.268523
3	1248.21067
4	1247.287521
5	1246.420277
6	1244.963482
7	1244.202578
8	1244.137316
9	1242.706346
10	1241.65422
11	1241.510066
12	1241.360788
13	1241.303447
14	1241.196748
15	1240.849956
16	1240.802681
17	1240.7829
18	1240.598666
19	1240.543841
20	1240.294032
21	1239.486844
22	1239.238501
23	1239.140411
24	1238.730159
25	1238.160008
26	1237.219407
27	1237.026063
28	1224.158357
29	1223.508617
30	1216.590778
31	1210.753316
32	1210.482249
33	1206.161552
34	1205.233679
35	1204.959722
36	1204.827758
37	1198.974908
38	1198.850844
39	1197.957554
40	1197.099471
41	1197.090937
42	1195.595909
43	1195.552854
44	1187.251126
45	1187.154302
46	1171.938206
47	1171.936976
48	1171.303385
49	1171.21756
50	1164.151053
51	1149.623202
52	1149.497118
53	1149.266039
54	1148.564862
55	1134.392536
56	1134.03163
57	1133.817613
58	1133.775683
59	1133.653861
60	1133.552884
61	1132.710963
62	1132.481924
63	1132.481783
64	1132.416376
65	1132.374181
66	1131.566764
67	1130.948905
68	1130.19483
69	1129.46044
70	1129.44932
71	1129.316604
72	1128.871492
73	1128.806249
74	1128.700004
75	1127.999438
76	1127.340031
77	1127.146193
78	1127.119151
79	1126.803259
80	1126.765245
81	1112.890196
82	1112.711023
83	1112.636376
84	1111.207636
85	1110.799354
86	1097.299361
87	1091.09636
88	1090.248305
89	1090.204553
90	1089.694842
91	1089.598042
92	1089.505176
93	1079.422677
94	1079.127308
95	1078.393756
96	1070.309343
97	1070.051693
98	1069.486838
99	1060.173673
100	1059.774055
101	1059.595871
102	1059.57284
103	1059.48293
104	1059.097045
105	1058.436988
106	1057.908527
107	1057.821375
108	1052.463677
109	1052.242495
110	1052.186091
111	1052.181274
112	1043.619752
113	1042.956763
114	1042.455491
115	1042.001955
116	1041.96934
117	1041.373519
118	1041.331483
119	1041.178373
120	1041.153567
121	1040.656095
122	1040.435844
123	1040.131903
124	1036.942254
125	1036.930845
126	1036.857704
127	1036.305606
128	1035.932834
129	1035.846053
130	1035.769062
131	1035.201503
132	1035.058154
133	1035.011985
134	1034.93303
135	1034.380588
136	1034.29834
137	1033.862094
138	1033.50947
139	1033.460441
140	1033.036973
141	1033.011135
142	1021.141056
143	1021.065011
144	1020.679894
145	1020.595017
146	1020.556588
147	1020.492887
148	1020.188291
149	1020.14494
150	1020.081034
151	1020.029388
152	1019.665566
153	1019.617829
154	1019.07213
155	1018.252625
156	1017.813093
157	1017.323555
158	1017.231663
159	1016.700381
160	1016.570609
161	1015.8359
162	1015.43824
163	1015.11753
164	1015.070531
165	1014.769445
166	1014.703862
167	1003.152231
168	991.9158312
169	991.8582546
170	980.9347418
171	980.8568979
172	970.2279357
173	969.6923038
174	969.643764
175	969.1282097
176	969.0643245
177	968.9942743
178	968.9322357
179	958.5802938
180	948.519144
181	947.7794087
182	947.7354918
183	947.2281982
184	947.0969059
185	937.3067435
186	937.2313491
187	936.7376968
188	936.2638155
189	935.806995
190	926.2793049
191	917.0181445
192	916.9499436
193	916.4957653
194	916.4229499
195	916.3519643
196	916.2214981
197	916.0200296
198	907.0143895
199	898.2701342
200	889.7785675
201	889.7086477
202	881.4588766
203	881.009518
204	872.9973952
205	865.2208123
206	865.1005145
207	857.55274
208	850.2293012
209	843.1110506
210	842.6596613
211	841.3832207
212	841.1571757
213	840.6595222
214	840.2976186
215	840.2347315
216	839.4805685
217	838.3320675
218	838.266383
219	837.9212906
220	837.868071
221	836.8350214
222	836.7606382
223	836.5710973
224	836.1348505
225	835.745128
226	835.4429569
227	835.0922328
228	835.068005
229	834.8967314
230	833.556126
231	833.4972313
232	833.0728395
233	832.1427286
234	831.8689945
235	831.3932764
236	831.339231
237	831.2902588
238	830.1157406
239	830.0428867
240	829.7738243
241	829.0315723
242	828.53465
243	824.5886076
244	824.386943
245	824.3325598
246	820.7086245
247	820.3249036
248	820.0210577
249	819.9748518
250	819.2604142
251	818.6680323
252	818.4765396
253	818.4347385
254	818.3818375
255	818.1974985
256	817.7269542
257	817.6959765
258	817.283386
259	816.8350175
260	815.9026345
261	815.4598984
262	815.1844456
263	814.7862746
264	814.403251
265	811.1339715
266	811.0067667
267	810.6367293
268	805.3779456
269	805.1576552
270	804.4757837
271	803.7318236
272	803.663784
273	803.6299732
274	803.4227567
275	802.7821287
276	802.4435422
277	802.2484223
278	802.1790451
279	801.5714096
280	801.5210976
281	801.4016469
282	800.361659
283	799.9872248
284	799.8703351
285	799.7237294
286	799.7066481
287	799.4125075
288	798.8408523
289	795.9376945
290	795.4977969
291	792.834222
292	792.4720716
293	792.3364588
294	789.4014258
295	789.0643899
296	788.9612825
297	786.6841876
298	784.5982877
299	784.4826103
300	782.5698996
301	782.0205351
302	781.7978883
303	775.7487622
304	775.3096071
305	774.970324
306	774.6527826
307	768.7950675
308	768.274534
309	768.2015417
310	768.1060905
311	767.7738429
312	767.4655735
313	767.2851629
314	767.1691181
315	767.0021557
316	766.7030969
317	766.4171496
318	766.111894
319	766.0248076
