iter	Passed	Remaining
0	14	2795
1	29	2908
2	42	2772
3	53	2607
4	63	2483
5	76	2483
6	94	2601
7	109	2633
8	127	2708
9	144	2753
10	162	2789
11	179	2807
12	191	2756
13	206	2737
14	216	2669
15	233	2685
16	243	2621
17	257	2606
18	270	2581
19	281	2533
20	293	2504
21	306	2478
22	323	2486
23	331	2429
24	341	2389
25	355	2382
26	366	2349
27	381	2345
28	394	2327
29	409	2320
30	426	2322
31	435	2285
32	448	2267
33	462	2258
34	474	2237
35	490	2236
36	503	2217
37	515	2198
38	525	2171
39	535	2143
40	546	2119
41	563	2120
42	581	2122
43	596	2114
44	611	2107
45	626	2098
46	640	2084
47	657	2083
48	675	2082
49	688	2066
50	705	2061
51	718	2044
52	732	2031
53	742	2008
54	753	1985
55	769	1979
56	783	1966
57	798	1955
58	813	1945
59	827	1930
60	845	1925
61	863	1921
62	876	1906
63	894	1900
64	911	1894
65	929	1887
66	940	1866
67	957	1857
68	970	1842
69	983	1825
70	999	1816
71	1017	1808
72	1034	1799
73	1051	1790
74	1068	1780
75	1085	1771
76	1102	1761
77	1119	1750
78	1136	1740
79	1152	1729
80	1169	1718
81	1186	1707
82	1203	1696
83	1220	1685
84	1236	1673
85	1253	1661
86	1269	1649
87	1286	1637
88	1303	1625
89	1320	1614
90	1337	1602
91	1355	1590
92	1372	1578
93	1388	1566
94	1405	1553
95	1423	1541
96	1440	1529
97	1457	1517
98	1474	1504
99	1491	1491
100	1508	1478
101	1525	1465
102	1541	1451
103	1558	1438
104	1575	1425
105	1591	1411
106	1608	1397
107	1624	1384
108	1641	1370
109	1657	1356
110	1674	1342
111	1691	1328
112	1708	1315
113	1725	1301
114	1742	1288
115	1759	1274
116	1777	1260
117	1794	1246
118	1811	1233
119	1829	1219
120	1846	1205
121	1863	1191
122	1879	1176
123	1895	1161
124	1912	1147
125	1929	1133
126	1945	1118
127	1962	1103
128	1979	1089
129	1996	1074
130	2014	1061
131	2031	1046
132	2048	1031
133	2065	1017
134	2081	1002
135	2099	987
136	2116	973
137	2133	958
138	2150	943
139	2167	928
140	2184	914
141	2201	899
142	2218	884
143	2235	869
144	2253	854
145	2270	839
146	2287	824
147	2304	809
148	2321	794
149	2339	779
150	2358	765
151	2377	750
152	2396	736
153	2415	721
154	2434	706
155	2453	691
156	2471	676
157	2489	661
158	2507	646
159	2526	631
160	2543	616
161	2561	600
162	2579	585
163	2596	569
164	2613	554
165	2630	538
166	2647	523
167	2664	507
168	2680	491
169	2697	476
170	2715	460
171	2735	445
172	2755	430
173	2774	414
174	2792	398
175	2810	383
176	2828	367
177	2845	351
178	2862	335
179	2879	319
180	2896	304
181	2912	288
182	2929	272
183	2945	256
184	2962	240
185	2979	224
186	2996	208
187	3014	192
188	3031	176
189	3048	160
190	3065	144
191	3082	128
192	3098	112
193	3115	96
194	3132	80
195	3149	64
196	3166	48
197	3183	32
198	3200	16
199	3217	0
