iter	RMSE
0	1114.127106
1	1113.210496
2	1110.96433
3	1110.082333
4	1109.50784
5	1108.088728
6	1107.739023
7	1107.461927
8	1107.147757
9	1103.518902
10	1103.189684
11	1100.946368
12	1100.499009
13	1100.476495
14	1060.202803
15	1059.147434
16	1056.461285
17	1056.324624
18	1056.294267
19	1055.515231
20	1043.172882
21	1042.294626
22	1041.185873
23	1040.109944
24	1038.291844
25	1036.924584
26	1035.942509
27	1034.326514
28	997.4153353
29	995.5490655
30	995.1419907
31	995.1206638
32	994.8431735
33	993.91223
34	972.5889301
35	972.5120976
36	971.0832198
37	970.8261544
38	959.1943165
39	957.9266934
40	948.3482736
41	946.6633919
42	946.4051919
43	933.7257358
44	933.5495347
45	904.3938323
46	904.1843551
47	903.8776372
48	902.7262969
49	898.6568915
50	872.3245185
51	869.1212796
52	868.6260987
53	868.2735932
54	868.0519287
55	844.5398189
56	844.2113422
57	844.0195231
58	843.8558135
59	822.8959085
60	821.6125929
61	802.951859
62	801.5608962
63	801.3458204
64	799.8792201
65	799.7284735
66	798.8405068
67	798.6438092
68	789.9078431
69	789.5667143
70	782.5746415
71	782.2941025
72	782.1590169
73	765.1168107
74	749.9460434
75	742.4841628
76	742.3176317
77	740.9259333
78	739.8377299
79	731.159824
80	723.5601438
81	722.5949162
82	721.6188647
83	714.9401824
84	713.7395504
85	713.4996491
86	707.5295378
87	706.9766215
88	706.844355
89	702.8090891
90	702.6911825
91	702.5968702
92	702.4649286
93	688.149568
94	687.1753689
95	687.0032179
96	686.8405376
97	686.1674367
98	684.7102053
99	684.5542698
100	684.3944762
101	682.2144006
102	681.7971542
103	680.7238397
104	678.5980584
105	676.88364
106	676.447888
107	675.7924669
108	674.6223027
109	673.8414307
110	673.2744975
111	662.8785746
112	662.4374451
113	657.667137
114	657.4281529
115	657.2327371
116	645.9853263
117	645.8769612
118	645.6162463
119	645.4001511
120	635.5360482
121	634.6792973
122	634.163234
123	634.1160312
124	632.8266734
125	632.6107385
126	623.7928059
127	623.6415417
128	623.2629509
129	622.8805036
130	621.3259246
131	621.0126957
132	618.7021224
133	618.159055
134	618.0916212
135	618.0108185
136	617.6490168
137	617.2746162
138	617.1341761
139	616.8394304
140	616.7882113
141	615.6498175
142	615.5349394
143	615.070872
144	614.7838088
145	614.512236
146	614.4426094
147	613.6192093
148	610.9908826
149	610.6216404
150	610.0221885
151	609.5102143
152	608.8431231
153	604.4509603
154	604.2328483
155	600.401051
156	600.0488408
157	596.7080892
158	593.7821467
159	591.2437151
160	591.1781395
161	590.9520252
162	589.9500981
163	589.2666127
164	588.8589162
165	588.388972
166	587.9067952
167	587.47344
168	585.1964554
169	584.9255796
170	584.8532132
171	584.7442842
172	584.1685402
173	583.1215133
174	582.7523383
175	582.6607565
176	580.6902371
177	580.4552718
178	580.3067219
179	579.3958444
180	579.2736034
181	578.861543
182	578.7354636
183	578.6671248
184	578.6210951
185	570.3257283
186	569.6016609
187	569.4915902
188	562.1799126
189	562.0664714
190	561.7972054
191	561.7719969
192	561.3507506
193	557.6675013
194	556.4620837
195	555.7361714
196	555.5832916
197	555.1533442
198	554.7711748
199	548.7476403
