iter	Passed	Remaining
0	15	3005
1	30	3024
2	47	3136
3	65	3208
4	83	3260
5	101	3266
6	118	3264
7	135	3256
8	153	3255
9	171	3265
10	189	3256
11	208	3266
12	223	3219
13	240	3193
14	257	3173
15	274	3153
16	291	3139
17	309	3130
18	327	3118
19	346	3119
20	363	3102
21	381	3088
22	399	3073
23	417	3060
24	435	3046
25	453	3032
26	472	3024
27	490	3015
28	510	3011
29	531	3011
30	551	3008
31	570	2996
32	590	2986
33	608	2968
34	627	2956
35	644	2938
36	664	2925
37	682	2909
38	700	2890
39	718	2873
40	736	2857
41	755	2843
42	775	2830
43	793	2814
44	812	2800
45	832	2787
46	851	2771
47	870	2755
48	888	2737
49	906	2719
50	924	2701
51	942	2683
52	961	2666
53	978	2646
54	997	2628
55	1014	2609
56	1032	2590
57	1050	2572
58	1068	2553
59	1086	2535
60	1104	2517
61	1123	2501
62	1141	2483
63	1160	2465
64	1178	2447
65	1196	2429
66	1214	2410
67	1231	2391
68	1249	2373
69	1267	2354
70	1285	2335
71	1303	2317
72	1321	2299
73	1339	2281
74	1357	2262
75	1375	2243
76	1393	2226
77	1411	2207
78	1429	2190
79	1447	2171
80	1466	2153
81	1484	2135
82	1502	2118
83	1520	2100
84	1539	2082
85	1557	2064
86	1575	2046
87	1593	2028
88	1612	2010
89	1630	1992
90	1648	1974
91	1666	1956
92	1684	1937
93	1702	1919
94	1720	1901
95	1739	1884
96	1759	1867
97	1777	1850
98	1796	1832
99	1814	1814
100	1832	1796
101	1850	1778
102	1867	1759
103	1885	1740
104	1902	1721
105	1921	1703
106	1938	1685
107	1957	1667
108	1975	1649
109	1993	1631
110	2011	1613
111	2031	1595
112	2048	1577
113	2067	1559
114	2084	1540
115	2102	1522
116	2120	1504
117	2138	1486
118	2157	1468
119	2175	1450
120	2192	1431
121	2209	1412
122	2226	1393
123	2243	1374
124	2261	1356
125	2280	1339
126	2298	1321
127	2316	1303
128	2334	1284
129	2351	1266
130	2369	1248
131	2389	1231
132	2407	1212
133	2425	1194
134	2443	1176
135	2461	1158
136	2478	1139
137	2496	1121
138	2514	1103
139	2532	1085
140	2551	1067
141	2568	1049
142	2586	1030
143	2604	1012
144	2621	994
145	2641	976
146	2659	958
147	2678	941
148	2695	922
149	2712	904
150	2730	886
151	2750	868
152	2768	850
153	2787	832
154	2804	814
155	2822	796
156	2840	777
157	2858	759
158	2875	741
159	2894	723
160	2912	705
161	2929	687
162	2947	669
163	2965	651
164	2983	632
165	3001	614
166	3020	596
167	3037	578
168	3055	560
169	3072	542
170	3090	524
171	3108	505
172	3126	487
173	3143	469
174	3160	451
175	3178	433
176	3195	415
177	3212	397
178	3229	378
179	3247	360
180	3265	342
181	3282	324
182	3299	306
183	3316	288
184	3334	270
185	3352	252
186	3369	234
187	3388	216
188	3406	198
189	3425	180
190	3444	162
191	3462	144
192	3480	126
193	3498	108
194	3516	90
195	3534	72
196	3552	54
197	3571	36
198	3589	18
199	3607	0
