iter	Passed	Remaining
0	3	3279
1	5	2602
2	7	2352
3	8	2139
4	9	1983
5	37	6284
6	40	5795
7	51	6375
8	54	5959
9	56	5607
10	66	5979
11	69	5721
12	77	5910
13	79	5629
14	82	5397
15	84	5190
16	92	5373
17	94	5178
18	101	5239
19	107	5290
20	111	5180
21	114	5084
22	118	5032
23	120	4891
24	122	4763
25	123	4644
26	125	4532
27	127	4431
28	129	4338
29	132	4286
30	134	4200
31	136	4119
32	138	4048
33	141	4015
34	143	3959
35	145	3888
36	147	3839
37	150	3813
38	153	3778
39	155	3722
40	156	3669
41	159	3641
42	162	3610
43	164	3575
44	167	3544
45	168	3500
46	171	3475
47	174	3464
48	176	3431
49	178	3389
50	180	3352
51	182	3320
52	184	3302
53	186	3266
54	189	3253
55	191	3220
56	193	3200
57	195	3176
58	197	3155
59	201	3162
60	203	3138
61	207	3144
62	210	3123
63	211	3099
64	214	3079
65	216	3058
66	218	3043
67	220	3024
68	222	3005
69	226	3002
70	228	2993
71	231	2988
72	233	2967
73	237	2966
74	238	2946
75	241	2938
76	244	2926
77	246	2910
78	248	2895
79	250	2878
80	253	2874
81	255	2857
82	257	2841
83	259	2824
84	261	2814
85	263	2796
86	265	2786
87	267	2774
88	270	2763
89	271	2749
90	273	2735
91	275	2722
92	277	2708
93	279	2695
94	281	2682
95	283	2671
96	286	2662
97	287	2650
98	289	2637
99	291	2622
100	294	2619
101	296	2611
102	298	2600
103	300	2589
104	302	2577
105	304	2565
106	305	2552
107	307	2542
108	310	2537
109	312	2531
110	314	2522
111	317	2514
112	319	2510
113	321	2501
114	325	2504
115	327	2495
116	329	2488
117	331	2479
118	333	2471
119	336	2464
120	338	2460
121	340	2453
122	343	2446
123	344	2436
124	347	2431
125	349	2423
126	351	2415
127	353	2405
128	354	2396
129	356	2387
130	358	2380
131	360	2371
132	365	2383
133	367	2377
134	369	2369
135	371	2361
136	373	2352
137	375	2346
138	377	2341
139	380	2334
140	381	2326
141	383	2317
142	386	2313
143	388	2309
144	390	2305
145	393	2300
146	395	2292
147	396	2284
148	398	2278
149	402	2279
150	404	2273
151	406	2268
152	408	2261
153	410	2254
154	412	2248
155	414	2244
156	417	2241
157	419	2234
158	421	2228
159	424	2228
160	426	2224
161	430	2225
162	432	2222
163	435	2219
164	437	2213
165	439	2205
166	441	2201
167	443	2196
168	445	2192
169	447	2187
170	449	2180
171	451	2173
172	453	2167
173	455	2161
174	457	2158
175	460	2154
176	462	2149
177	464	2142
178	465	2136
179	467	2130
180	469	2124
181	471	2118
182	473	2113
183	475	2107
184	477	2101
185	479	2097
186	481	2093
187	483	2088
188	485	2083
189	487	2077
190	489	2071
191	490	2065
192	492	2059
193	494	2053
194	496	2048
195	498	2042
196	499	2037
197	501	2031
198	504	2030
199	506	2026
200	508	2021
201	510	2015
202	512	2010
203	513	2004
204	515	2000
205	517	1994
206	519	1990
207	521	1986
208	523	1982
209	526	1979
210	529	1980
211	531	1976
212	533	1971
213	535	1966
214	537	1961
215	538	1956
216	540	1950
217	542	1946
218	544	1942
219	547	1939
220	549	1938
221	551	1932
222	553	1928
223	555	1924
224	556	1918
225	558	1913
226	560	1908
227	562	1904
228	564	1899
229	565	1894
230	567	1889
231	569	1885
232	571	1880
233	573	1878
234	575	1873
235	577	1869
236	579	1864
